,Country,Year,Expenditure_per_Visitor
1709,NICARAGUA,2006,175.9379042690815
1710,NICARAGUA,2007,133.82507903055847
1711,NICARAGUA,2008,152.86624203821657
1712,NICARAGUA,2009,156.17715617715618
1713,NICARAGUA,2010,133.25991189427313
1714,NICARAGUA,2011,151.31578947368422
1715,NICARAGUA,2012,138.91726251276813
1716,NICARAGUA,2013,152.91750503018108
1717,NICARAGUA,2014,175.1824817518248
1718,NICARAGUA,2015,168.64864864864865
1719,NICARAGUA,2016,184.50560652395515
1720,NICARAGUA,2017,239.30753564154787
1721,NICARAGUA,2018,224.84599589322383
1722,NICARAGUA,2019,190.72708113804003
1725,NICARAGUA,2022,180.25751072961373
1730,NORWAY,1995,7172.881355932203
1731,NORWAY,1996,6489.884393063584
1732,NORWAY,1997,5907.038512616202
1733,NORWAY,1999,2154.997798326728
1734,NORWAY,2000,1921.8880534670009
1735,NORWAY,2001,1878.1942078364566
1736,NORWAY,2002,1973.7542791936098
1737,NORWAY,2003,2595.0540958268934
1738,NORWAY,2004,2867.9054054054054
1739,NORWAY,2005,3056.8540745420087
1740,NORWAY,2006,3313.0407911001234
1741,NORWAY,2007,3570.2503681885123
1742,NORWAY,2009,1822.4397590361446
1743,NORWAY,2010,1774.9670619235837
1744,NORWAY,2011,1946.248462484625
1745,NORWAY,2012,1794.918918918919
1746,NORWAY,2013,1989.7629310344828
1747,NORWAY,2014,2017.3014145810664
1748,NORWAY,2015,1748.3428571428572
1749,NORWAY,2016,1876.587795765878
1750,NORWAY,2017,1991.3096695226438
1751,NORWAY,2018,2102.589395807645
1752,NORWAY,2019,1812.5984251968505
1753,NORWAY,2020,2489.3491124260354
1754,NORWAY,2021,2180.1075268817203
1755,NORWAY,2022,1971.4488636363637
1756,OMAN,2005,267.62820512820514
1757,OMAN,2006,267.26726726726724
1758,OMAN,2007,255.34804753820035
1759,OMAN,2008,276.1290322580645
1760,OMAN,2009,365.18218623481783
1761,OMAN,2010,353.8352774832096
1762,OMAN,2011,349.59592936246634
1763,OMAN,2012,322.75931520644514
1764,OMAN,2013,331.55080213903744
1765,OMAN,2014,350.11635286651153
1766,OMAN,2015,326.14306784660766
1767,OMAN,2016,362.25008471704507
1768,OMAN,2017,366.67713567839195
1769,OMAN,2018,425.43933054393307
1770,OMAN,2019,397.2561435248002
1771,OMAN,2020,480.3862401931201
1772,OMAN,2021,474.089276552078
1792,PANAMA,2013,1392.568659127625
1793,PANAMA,2014,1104.337631887456
1794,PANAMA,2015,1093.2642487046633
1795,PANAMA,2016,1088.4871550903902
1796,PANAMA,2017,1059.8388952819332
1797,PANAMA,2018,1160.7843137254902
1798,PANAMA,2019,1159.8694942903753
1800,PANAMA,2021,1181.8181818181818
1801,PANAMA,2022,1170.3877790834313
1829,PARAGUAY,2015,701.3888888888889
1830,PARAGUAY,2016,488.35662009314706
1831,PARAGUAY,2017,417.66858337689496
1832,PARAGUAY,2018,434.1126461211477
1833,PARAGUAY,2019,433.42175066312996
1836,PARAGUAY,2022,508.9078233927188
1837,PERU,1995,584.6456692913385
1838,PERU,1996,686.2745098039215
1839,PERU,1997,752.1663778162912
1840,PERU,1998,842.007434944238
1841,PERU,1999,863.5477582846004
1842,PERU,2000,579.4520547945206
1843,PERU,2001,515.0943396226415
1844,PERU,2002,491.8831168831169
1845,PERU,2003,460.48850574712645
1846,PERU,2004,393.27217125382265
1847,PERU,2005,408.4736556219446
1848,PERU,2006,430.26386645126547
1849,PERU,2007,505.48302872062663
1850,PERU,2008,586.5133298484056
1851,PERU,2009,575.3569539925965
1852,PERU,2010,620.0194363459669
1853,PERU,2011,636.0225140712946
1854,PERU,2012,626.7421602787457
1855,PERU,2013,673.434856175973
1856,PERU,2014,650.6961506961507
1857,PERU,2015,724.0847784200386
1858,PERU,2016,742.2755361686659
1859,PERU,2017,762.0869565217391
1860,PERU,2018,846.0038986354775
1861,PERU,2019,1107.4809160305344
1862,PERU,2019,847.3282442748092
1863,PERU,2020,926.6750948166878
1864,PERU,2021,1862.2366288492706
1865,PERU,2022,1106.6540821142048
1866,PHILIPPINES,1995,261.3003095975232
1867,PHILIPPINES,1996,596.8882602545968
1868,PHILIPPINES,1997,1002.5906735751296
1869,PHILIPPINES,1998,1073.1975784259769
1870,PHILIPPINES,1999,914.5299145299145
1871,PHILIPPINES,2000,983.2335329341317
